warning: `VIRTUAL_ENV=/usr` does not match the project environment path `.venv` and will be ignored; use `--active` to target the active environment instead
W0327 08:31:43.570000 11341 .venv/lib/python3.10/site-packages/torch/_inductor/utils.py:1613] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 11,534,472
Estimated FLOPs per token: 5.662387e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011421 | lrm: 0.00 | dt: 15733ms | tok/sec: 1,041 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011445 | lrm: 0.00 | dt: 42ms | tok/sec: 391,035 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011516 | lrm: 0.00 | dt: 42ms | tok/sec: 393,954 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011493 | lrm: 0.00 | dt: 42ms | tok/sec: 393,591 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011384 | lrm: 0.00 | dt: 42ms | tok/sec: 393,749 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011328 | lrm: 0.00 | dt: 42ms | tok/sec: 394,058 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011196 | lrm: 0.00 | dt: 42ms | tok/sec: 394,137 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011222 | lrm: 0.00 | dt: 42ms | tok/sec: 394,040 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.011228 | lrm: 0.00 | dt: 42ms | tok/sec: 393,489 | mfu: 2.3% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.011232 | lrm: 0.00 | dt: 42ms | tok/sec: 392,927 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.011224 | lrm: 0.00 | dt: 42ms | tok/sec: 392,133 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.011230 | lrm: 0.00 | dt: 43ms | tok/sec: 380,075 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 9.011237 | lrm: 0.00 | dt: 44ms | tok/sec: 370,815 | mfu: 2.1% | epoch: 1 | remaining: 300s    
step 00013 (0.0%) | loss: 9.011218 | lrm: 0.01 | dt: 43ms | tok/sec: 381,953 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00014 (0.0%) | loss: 9.011039 | lrm: 0.01 | dt: 42ms | tok/sec: 391,345 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00015 (0.1%) | loss: 9.010747 | lrm: 0.01 | dt: 42ms | tok/sec: 392,961 | mfu: 2.2% | epoch: 1 | remaining: 300s    
step 00058 (0.7%) | loss: 7.314875 | lrm: 0.13 | dt: 42ms | tok/sec: 391,452 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00059 (0.7%) | loss: 7.259231 | lrm: 0.13 | dt: 44ms | tok/sec: 369,481 | mfu: 2.1% | epoch: 1 | remaining: 298s    
step 00060 (0.7%) | loss: 7.219855 | lrm: 0.14 | dt: 43ms | tok/sec: 378,496 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00061 (0.7%) | loss: 7.167308 | lrm: 0.14 | dt: 43ms | tok/sec: 385,207 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00062 (0.7%) | loss: 7.117228 | lrm: 0.14 | dt: 42ms | tok/sec: 393,143 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00063 (0.7%) | loss: 7.068351 | lrm: 0.15 | dt: 42ms | tok/sec: 393,859 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00064 (0.7%) | loss: 7.026003 | lrm: 0.15 | dt: 42ms | tok/sec: 392,893 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00065 (0.8%) | loss: 6.999820 | lrm: 0.15 | dt: 42ms | tok/sec: 393,539 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00066 (0.8%) | loss: 6.960220 | lrm: 0.15 | dt: 42ms | tok/sec: 393,744 | mfu: 2.3% | epoch: 1 | remaining: 298s    
step 00067 (0.8%) | loss: 6.919918 | lrm: 0.16 | dt: 42ms | tok/sec: 392,943 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00068 (0.8%) | loss: 6.883036 | lrm: 0.16 | dt: 42ms | tok/sec: 391,405 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00069 (0.8%) | loss: 6.847892 | lrm: 0.16 | dt: 42ms | tok/sec: 388,098 | mfu: 2.2% | epoch: 1 | remaining: 298s    
step 00070 (0.8%) | loss: 6.823981 | lrm: 0.17 | dt: 42ms | tok/sec: 391,271 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00071 (0.8%) | loss: 6.795077 | lrm: 0.17 | dt: 42ms | tok/sec: 393,372 | mfu: 2.3% | epoch: 1 | remaining: 297s    
step 00072 (0.9%) | loss: 6.761117 | lrm: 0.17 | dt: 42ms | tok/sec: 393,559 | mfu: 2.3% | epoch: 1 | remaining: 297s    
step 00073 (0.9%) | loss: 6.726961 | lrm: 0.17 | dt: 42ms | tok/sec: 393,755 | mfu: 2.3% | epoch: 1 | remaining: 297s    
step 00074 (0.9%) | loss: 6.699084 | lrm: 0.18 | dt: 42ms | tok/sec: 393,751 | mfu: 2.3% | epoch: 1 | remaining: 297s    
step 00075 (0.9%) | loss: 6.686427 | lrm: 0.18 | dt: 42ms | tok/sec: 392,635 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00076 (0.9%) | loss: 6.654106 | lrm: 0.18 | dt: 42ms | tok/sec: 392,707 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00077 (0.9%) | loss: 6.627922 | lrm: 0.18 | dt: 42ms | tok/sec: 392,689 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00078 (0.9%) | loss: 6.597281 | lrm: 0.19 | dt: 42ms | tok/sec: 392,723 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00079 (1.0%) | loss: 6.572154 | lrm: 0.19 | dt: 42ms | tok/sec: 392,044 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00080 (1.0%) | loss: 6.557529 | lrm: 0.19 | dt: 42ms | tok/sec: 392,073 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00081 (1.0%) | loss: 6.533654 | lrm: 0.20 | dt: 42ms | tok/sec: 391,927 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00082 (1.0%) | loss: 6.514792 | lrm: 0.20 | dt: 43ms | tok/sec: 383,652 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00083 (1.0%) | loss: 6.495427 | lrm: 0.20 | dt: 43ms | tok/sec: 378,323 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00084 (1.0%) | loss: 6.483975 | lrm: 0.20 | dt: 43ms | tok/sec: 378,911 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00085 (1.0%) | loss: 6.460771 | lrm: 0.21 | dt: 42ms | tok/sec: 387,282 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00086 (1.1%) | loss: 6.440503 | lrm: 0.21 | dt: 42ms | tok/sec: 392,534 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00087 (1.1%) | loss: 6.411487 | lrm: 0.21 | dt: 42ms | tok/sec: 392,893 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00088 (1.1%) | loss: 6.379696 | lrm: 0.22 | dt: 42ms | tok/sec: 392,453 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00089 (1.1%) | loss: 6.361787 | lrm: 0.22 | dt: 42ms | tok/sec: 392,418 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00090 (1.1%) | loss: 6.354334 | lrm: 0.22 | dt: 42ms | tok/sec: 392,570 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00091 (1.1%) | loss: 6.341117 | lrm: 0.22 | dt: 42ms | tok/sec: 392,185 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00092 (1.1%) | loss: 6.323564 | lrm: 0.23 | dt: 42ms | tok/sec: 392,212 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00093 (1.1%) | loss: 6.310552 | lrm: 0.23 | dt: 42ms | tok/sec: 392,599 | mfu: 2.2% | epoch: 1 | remaining: 297s    
step 00094 (1.2%) | loss: 6.300439 | lrm: 0.23 | dt: 42ms | tok/sec: 391,927 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00095 (1.2%) | loss: 6.287628 | lrm: 0.24 | dt: 42ms | tok/sec: 392,453 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00096 (1.2%) | loss: 6.275528 | lrm: 0.24 | dt: 42ms | tok/sec: 392,357 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00097 (1.2%) | loss: 6.252901 | lrm: 0.24 | dt: 42ms | tok/sec: 391,818 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00098 (1.2%) | loss: 6.237987 | lrm: 0.24 | dt: 42ms | tok/sec: 392,205 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00099 (1.2%) | loss: 6.232738 | lrm: 0.25 | dt: 42ms | tok/sec: 392,624 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00100 (1.2%) | loss: 6.221822 | lrm: 0.25 | dt: 42ms | tok/sec: 392,700 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00101 (1.3%) | loss: 6.204551 | lrm: 0.25 | dt: 42ms | tok/sec: 392,671 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00102 (1.3%) | loss: 6.192108 | lrm: 0.25 | dt: 42ms | tok/sec: 392,442 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00103 (1.3%) | loss: 6.190113 | lrm: 0.26 | dt: 42ms | tok/sec: 392,776 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00104 (1.3%) | loss: 6.179310 | lrm: 0.26 | dt: 42ms | tok/sec: 386,049 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00105 (1.3%) | loss: 6.169163 | lrm: 0.26 | dt: 43ms | tok/sec: 378,515 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00106 (1.3%) | loss: 6.155811 | lrm: 0.27 | dt: 44ms | tok/sec: 375,346 | mfu: 2.1% | epoch: 1 | remaining: 296s    
step 00107 (1.3%) | loss: 6.137349 | lrm: 0.27 | dt: 44ms | tok/sec: 374,103 | mfu: 2.1% | epoch: 1 | remaining: 296s    
step 00108 (1.4%) | loss: 6.134938 | lrm: 0.27 | dt: 43ms | tok/sec: 379,307 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00109 (1.4%) | loss: 6.113198 | lrm: 0.27 | dt: 43ms | tok/sec: 380,359 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00110 (1.4%) | loss: 6.099633 | lrm: 0.28 | dt: 42ms | tok/sec: 391,009 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00111 (1.4%) | loss: 6.093752 | lrm: 0.28 | dt: 42ms | tok/sec: 391,510 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00112 (1.4%) | loss: 6.079127 | lrm: 0.28 | dt: 42ms | tok/sec: 392,194 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00113 (1.4%) | loss: 6.070426 | lrm: 0.29 | dt: 42ms | tok/sec: 392,541 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00114 (1.4%) | loss: 6.054383 | lrm: 0.29 | dt: 42ms | tok/sec: 391,706 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00115 (1.5%) | loss: 6.044512 | lrm: 0.29 | dt: 42ms | tok/sec: 391,943 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00116 (1.5%) | loss: 6.030462 | lrm: 0.29 | dt: 42ms | tok/sec: 385,538 | mfu: 2.2% | epoch: 1 | remaining: 296s    
step 00117 (1.5%) | loss: 6.032278 | lrm: 0.30 | dt: 44ms | tok/sec: 374,299 | mfu: 2.1% | epoch: 1 | remaining: 295s    
step 00118 (1.5%) | loss: 6.013652 | lrm: 0.30 | dt: 43ms | tok/sec: 377,934 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00119 (1.5%) | loss: 5.992484 | lrm: 0.30 | dt: 42ms | tok/sec: 387,730 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00120 (1.5%) | loss: 5.975866 | lrm: 0.31 | dt: 42ms | tok/sec: 392,129 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00121 (1.5%) | loss: 5.978034 | lrm: 0.31 | dt: 42ms | tok/sec: 392,442 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00122 (1.6%) | loss: 5.975257 | lrm: 0.31 | dt: 42ms | tok/sec: 392,705 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00123 (1.6%) | loss: 5.967543 | lrm: 0.31 | dt: 42ms | tok/sec: 392,765 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00124 (1.6%) | loss: 5.957013 | lrm: 0.32 | dt: 42ms | tok/sec: 392,626 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00125 (1.6%) | loss: 5.946275 | lrm: 0.32 | dt: 42ms | tok/sec: 391,182 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00126 (1.6%) | loss: 5.933355 | lrm: 0.32 | dt: 42ms | tok/sec: 392,122 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00127 (1.6%) | loss: 5.929003 | lrm: 0.33 | dt: 42ms | tok/sec: 392,810 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00128 (1.6%) | loss: 5.911788 | lrm: 0.33 | dt: 42ms | tok/sec: 391,709 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00129 (1.7%) | loss: 5.898760 | lrm: 0.33 | dt: 42ms | tok/sec: 390,431 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00130 (1.7%) | loss: 5.893807 | lrm: 0.33 | dt: 44ms | tok/sec: 375,701 | mfu: 2.1% | epoch: 1 | remaining: 295s    
step 00131 (1.7%) | loss: 5.903465 | lrm: 0.34 | dt: 44ms | tok/sec: 372,895 | mfu: 2.1% | epoch: 1 | remaining: 295s    
step 00132 (1.7%) | loss: 5.889280 | lrm: 0.34 | dt: 42ms | tok/sec: 386,500 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00133 (1.7%) | loss: 5.887101 | lrm: 0.34 | dt: 42ms | tok/sec: 388,487 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00134 (1.7%) | loss: 5.870251 | lrm: 0.35 | dt: 42ms | tok/sec: 389,158 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00135 (1.7%) | loss: 5.869881 | lrm: 0.35 | dt: 42ms | tok/sec: 391,981 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00136 (1.8%) | loss: 5.854414 | lrm: 0.35 | dt: 42ms | tok/sec: 390,780 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00137 (1.8%) | loss: 5.835835 | lrm: 0.35 | dt: 42ms | tok/sec: 390,771 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00138 (1.8%) | loss: 5.823765 | lrm: 0.36 | dt: 42ms | tok/sec: 389,541 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00139 (1.8%) | loss: 5.819443 | lrm: 0.36 | dt: 42ms | tok/sec: 389,025 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00140 (1.8%) | loss: 5.818853 | lrm: 0.36 | dt: 42ms | tok/sec: 386,492 | mfu: 2.2% | epoch: 1 | remaining: 295s    
step 00141 (1.8%) | loss: 5.796864 | lrm: 0.36 | dt: 42ms | tok/sec: 388,981 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00142 (1.8%) | loss: 5.778454 | lrm: 0.37 | dt: 42ms | tok/sec: 391,225 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00143 (1.9%) | loss: 5.774242 | lrm: 0.37 | dt: 42ms | tok/sec: 391,479 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00144 (1.9%) | loss: 5.779750 | lrm: 0.37 | dt: 42ms | tok/sec: 390,560 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00145 (1.9%) | loss: 5.763061 | lrm: 0.38 | dt: 42ms | tok/sec: 391,193 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00146 (1.9%) | loss: 5.754598 | lrm: 0.38 | dt: 42ms | tok/sec: 391,165 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00147 (1.9%) | loss: 5.732787 | lrm: 0.38 | dt: 42ms | tok/sec: 392,299 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00148 (1.9%) | loss: 5.722725 | lrm: 0.38 | dt: 42ms | tok/sec: 391,528 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00149 (1.9%) | loss: 5.712204 | lrm: 0.39 | dt: 42ms | tok/sec: 392,294 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00150 (1.9%) | loss: 5.696836 | lrm: 0.39 | dt: 42ms | tok/sec: 392,534 | mfu: 2.2% | epoch: 1 | remaining: 294s    
step 00151 (2.0%) | loss: 5.690764 | lrm: 0.39 | dt: 42ms | tok/sec: 392,503 | mfu: 2.2% | epoch: 1 | remaining: 294s    
